ts_utc,symbol,mid,spread_bp,cover_bid_pct,cover_ask_pct,bid_usd_5,ask_usd_5,bid_usd_10,ask_usd_10,bid_usd_20,ask_usd_20,imb_5,imb_10,imb_20
2026-07-07T21:00:03Z,BNBUSDT,580.715,0.172,12.157,10.989,1676682,1143100,3110950,2569908,4724680,4006363,0.5946,0.5476,0.5411
2026-07-07T21:00:04Z,XRPUSDT,1.11875,0.894,92.67,47.566,1420146,1002674,2072338,1381148,2750017,2031718,0.5862,0.6001,0.5751
2026-07-07T22:34:11Z,BTCUSDT,63505.125,0.002,1.589,1.48,11525935,12572324,13630277,15979019,19218741,18587938,0.4783,0.4603,0.5083
2026-07-07T22:34:12Z,ETHUSDT,1774.645,0.056,5.45,5.355,5129001,5562599,7603718,6229024,11269678,7164807,0.4797,0.5497,0.6113
2026-07-07T22:34:13Z,SOLUSDT,80.925,1.236,76.645,62.323,1940768,1042628,2541333,1440178,4526870,2096206,0.6505,0.6383,0.6835
2026-07-07T22:34:14Z,BNBUSDT,578.725,0.173,12.274,10.98,1394337,937560,2710032,2218148,4177334,3282968,0.5979,0.5499,0.5599
2026-07-07T22:34:15Z,XRPUSDT,1.11535,0.897,92.648,47.703,1369327,898105,1945690,1244380,2532062,1834272,0.6039,0.6099,0.5799
2026-07-08T00:16:18Z,BTCUSDT,63480.005,0.002,1.469,1.507,12238214,13467871,15216748,17577750,19553556,19952149,0.4761,0.464,0.495
2026-07-08T00:16:19Z,ETHUSDT,1774.215,0.056,5.475,5.286,5452813,5957276,7800689,6910841,11467377,7775768,0.4779,0.5302,0.5959
2026-07-08T00:16:20Z,SOLUSDT,80.605,1.241,76.552,62.558,1919364,1150111,3246476,1638536,4700706,2168564,0.6253,0.6646,0.6843
2026-07-08T00:16:21Z,BNBUSDT,576.645,0.173,12.435,11.042,2108832,1822614,3731858,3472779,5217224,4761329,0.5364,0.518,0.5228
2026-07-08T00:16:21Z,XRPUSDT,1.11195,0.899,92.626,47.884,1271540,1216112,1766125,1539323,2342848,2179683,0.5111,0.5343,0.518
2026-07-08T03:50:55Z,BTCUSDT,62840.535,0.002,1.368,1.649,9891009,10847914,14092279,12225502,19047932,16382609,0.4769,0.5355,0.5376
2026-07-08T03:50:56Z,ETHUSDT,1754.005,0.057,5.494,5.39,5940941,4599832,7384063,5869070,10993402,8801564,0.5636,0.5572,0.5554
2026-07-08T03:50:56Z,SOLUSDT,78.785,1.269,76.011,63.978,1706454,1586977,2644777,1976219,3252708,2347372,0.5181,0.5723,0.5808
2026-07-08T03:50:57Z,BNBUSDT,569.875,0.175,12.997,11.172,1040022,1291361,3094868,2346293,4410898,3563556,0.4461,0.5688,0.5531
2026-07-08T03:50:58Z,XRPUSDT,1.09655,0.912,92.522,48.457,988747,1482321,1503261,1880370,2108275,2147746,0.4001,0.4443,0.4954
2026-07-08T05:22:14Z,BTCUSDT,62812.005,0.002,1.416,1.615,12319851,10652634,15601591,11980336,19998113,16002574,0.5363,0.5656,0.5555
2026-07-08T05:22:15Z,ETHUSDT,1756.925,0.057,5.585,5.282,5463134,5387354,6730359,7827875,9873273,9895149,0.5035,0.4623,0.4994
2026-07-08T05:22:16Z,SOLUSDT,78.715,1.27,75.989,64.035,1770105,1367465,2862876,1836050,3517431,2245991,0.5642,0.6093,0.6103
2026-07-08T05:22:17Z,BNBUSDT,569.455,0.176,13.047,11.159,1991942,1435501,3809654,2729201,5097076,3933048,0.5812,0.5826,0.5645
2026-07-08T05:22:18Z,XRPUSDT,1.09465,0.914,92.509,48.541,1032713,1268799,1522781,1593271,2089803,1913330,0.4487,0.4887,0.522
2026-07-08T06:44:44Z,BTCUSDT,62538.335,0.002,1.263,1.785,11847648,11588904,17798437,13026005,19373538,17164350,0.5055,0.5774,0.5302
2026-07-08T06:44:45Z,ETHUSDT,1747.925,0.057,5.432,5.535,6488113,5634239,8138176,6192519,11156599,9409736,0.5352,0.5679,0.5425
2026-07-08T06:44:46Z,SOLUSDT,78.045,1.281,75.783,64.585,1861534,1413661,2373474,1839666,3534955,2100457,0.5684,0.5634,0.6273
2026-07-08T06:44:47Z,BNBUSDT,566.285,0.177,13.542,11.386,2069445,1185474,3702272,2076853,5324496,3066174,0.6358,0.6406,0.6346
2026-07-08T06:44:48Z,XRPUSDT,1.08755,0.919,92.46,48.802,1121197,1518562,1692014,1882258,2223322,2179748,0.4247,0.4734,0.5049
2026-07-08T08:34:02Z,BTCUSDT,62019.375,0.002,1.295,1.864,12212508,9710498,21126879,10554069,24035609,12386162,0.5571,0.6669,0.6599
2026-07-08T08:34:03Z,ETHUSDT,1732.815,0.058,5.492,5.689,6974346,4771815,8019526,5833596,12613813,6239928,0.5938,0.5789,0.669
2026-07-08T08:34:03Z,SOLUSDT,77.075,1.297,75.478,65.345,1669516,1663781,2278500,2038194,3222821,2206188,0.5009,0.5278,0.5936
2026-07-08T08:34:04Z,BNBUSDT,561.955,0.178,14.029,11.504,1358582,1012339,3569082,1937604,4878075,2804315,0.573,0.6481,0.635
